timestamp_local,timestamp_utc,park_load_kw,park_load_kwh,tenant_count,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN_imputed,temperature_c,T2M_imputed,relative_humidity_pct,RH2M_imputed,precipitation,PRECTOTCORR_imputed,wind_speed,WS10M_imputed,weather_quality_flag,solar_resource_raw,solar_resource_unit,solar_resource_normalized,pv_available_kw,pv_available_kwh,pv_conversion_branch,pv_formula_version,pv_clipped_to_capacity,installed_pv_capacity_kw,performance_ratio,pv_model_name,pv_is_derived,pv_is_measured,pv_quality_flag,tariff_period,grid_price_vnd_per_kwh,tariff_source_status,tariff_category_selected,tariff_voltage_level_selected,tariff_schedule_is_demo_assumption,dppa_enabled,dppa_available_kw,dppa_price_vnd_per_kwh,dppa_renewable_eligible,dppa_availability_is_assumption,dppa_price_is_assumption,dppa_values_are_assumptions,transformer_capacity_kw,total_nominal_tenant_load_kw,load_to_transformer_capacity_ratio,load_quality_flag,dataset_quality_flag,processed_dataset_version
2013-01-02 00:00:00+07:00,2013-01-01 17:00:00+00:00,2981.2993543156103,2981.2993543156103,5,0.0,False,23.09,False,90.04,False,0.0,False,2.25,False,ok,0.0,Wh/m^2,0.0,0.0,0.0,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,off_peak,1100.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5733267989068481,ok,ok,stage2_v1
2013-01-02 01:00:00+07:00,2013-01-01 18:00:00+00:00,2880.6834503031623,2880.6834503031623,5,0.0,False,22.76,False,90.55,False,0.0,False,2.24,False,ok,0.0,Wh/m^2,0.0,0.0,0.0,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,off_peak,1100.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.553977586596762,ok,ok,stage2_v1
2013-01-02 02:00:00+07:00,2013-01-01 19:00:00+00:00,2763.7128695595707,2763.7128695595707,5,0.0,False,22.45,False,90.77,False,0.0,False,2.27,False,ok,0.0,Wh/m^2,0.0,0.0,0.0,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,off_peak,1100.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5314832441460713,ok,ok,stage2_v1
2013-01-02 03:00:00+07:00,2013-01-01 20:00:00+00:00,2910.169255210335,2910.169255210335,5,0.0,False,22.13,False,90.84,False,0.0,False,2.28,False,ok,0.0,Wh/m^2,0.0,0.0,0.0,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,off_peak,1100.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5596479336942952,ok,ok,stage2_v1
2013-01-02 04:00:00+07:00,2013-01-01 21:00:00+00:00,2795.5459758058328,2795.5459758058328,5,0.0,False,21.8,False,90.96,False,0.0,False,2.18,False,ok,0.0,Wh/m^2,0.0,0.0,0.0,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,off_peak,1100.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5376049953472756,ok,ok,stage2_v1
2013-01-02 05:00:00+07:00,2013-01-01 22:00:00+00:00,2788.881655393966,2788.881655393966,5,0.0,False,21.49,False,90.88,False,0.0,False,2.0,False,ok,0.0,Wh/m^2,0.0,0.0,0.0,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,normal,1900.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5363233952680704,ok,ok,stage2_v1
2013-01-02 06:00:00+07:00,2013-01-01 23:00:00+00:00,2860.5248860106276,2860.5248860106276,5,24.27,False,22.06,False,89.03,False,0.0,False,1.71,False,ok,24.27,Wh/m^2,0.02427,52.180499999999995,52.180499999999995,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,normal,1900.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5501009396174283,ok,ok,stage2_v1
2013-01-02 07:00:00+07:00,2013-01-02 00:00:00+00:00,2856.1599226059657,2856.1599226059657,5,209.1,False,24.37,False,74.28,False,0.0,False,2.41,False,ok,209.1,Wh/m^2,0.2091,449.565,449.565,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,normal,1900.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5492615235780703,ok,ok,stage2_v1
2013-01-02 08:00:00+07:00,2013-01-02 01:00:00+00:00,2786.392217171278,2786.392217171278,5,441.1,False,26.44,False,65.31,False,0.0,False,2.57,False,ok,441.1,Wh/m^2,0.44110000000000005,948.3650000000002,948.3650000000002,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,normal,1900.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5358446571483226,ok,ok,stage2_v1
2013-01-02 09:00:00+07:00,2013-01-02 02:00:00+00:00,2972.3839479994876,2972.3839479994876,5,637.05,False,28.36,False,59.94,False,0.0,False,1.94,False,ok,637.05,Wh/m^2,0.63705,1369.6575,1369.6575,hourly_irradiation_wh_m2,simple_capacity_factor_v2,False,2500.0,0.86,simple_unit_aware_pr_model,True,False,ok,peak,3200.0,demo_reference,False,False,True,True,1500.0,1750.0,True,True,True,True,5200.0,5750.0,0.5716122976922091,ok,ok,stage2_v1
